dateTime,u,v,ws,wd,wp
2009070223,4.8,-3.73,6.08,127.81,0.444
2009070300,4.34,-3.5,5.58,128.85,0.386
2009070301,3.59,-2.78,4.54,127.79,0.397
2009070302,3.09,-2.49,3.97,128.95,0.296
2009070303,2.65,-2.17,3.43,129.28,0.259
2009070304,2.33,-1.82,2.95,127.94,0.206
2009070305,2.12,-1.49,2.59,125.07,0.122
2009070306,2.01,-1.25,2.37,121.83,0.101
2009070307,2.01,-1.15,2.31,119.92,0.106
2009070308,2.04,-1.16,2.35,119.53,0.138
2009070309,2.07,-1.2,2.39,120.06,0.069
2009070310,2.05,-1.23,2.39,120.88,0.053
2009070311,2.06,-1.25,2.41,121.36,0.085
2009070312,2.18,-1.3,2.54,120.83,0.069
2009070313,3.4,-2.19,4.05,122.81,0.106
2009070314,4.04,-2.98,5.02,126.39,0.143
2009070315,4.61,-3.62,5.86,128.13,0.127
2009070316,5.01,-3.89,6.34,127.79,0.159
2009070317,5.3,-3.93,6.59,126.56,0.259
2009070318,5.52,-3.96,6.79,125.65,0.455
2009070319,5.7,-4.13,7.05,125.93,0.524
2009070320,5.77,-4.37,7.24,127.15,0.497
2009070321,5.6,-4.53,7.21,128.94,0.529
2009070322,5.12,-4.48,6.8,131.17,0.492
2009070323,4.4,-4.21,6.09,133.77,0.36
2009070400,3.55,-3.75,5.16,136.59,0.212
2009070401,2.9,-2.78,4.01,133.78,0.09
2009070402,2.19,-2.19,3.09,135.0,0.074
2009070403,1.75,-1.66,2.41,133.42,0.058
2009070404,1.71,-1.24,2.11,126.01,0.021
2009070405,1.84,-0.99,2.09,118.2,0.042
2009070406,1.89,-0.97,2.12,117.15,0.037
2009070407,1.65,-1.19,2.03,125.79,0.016
2009070408,1.24,-1.43,1.89,139.11,0
2009070409,0.86,-1.42,1.66,148.86,0
2009070410,0.68,-0.99,1.2,145.64,0
2009070411,0.73,-0.38,0.82,117.57,0
2009070412,1.01,0.06,1.01,86.4,0.016
2009070413,1.17,-0.57,1.3,115.79,0.037
2009070414,1.91,-0.74,2.05,111.34,0.026
2009070415,2.77,-1.09,2.98,111.48,0.011
2009070416,3.6,-1.56,3.93,113.45,0.005
2009070417,4.26,-2.14,4.77,116.68,0.021
2009070418,4.61,-2.8,5.39,121.32,0.037
2009070419,4.55,-3.5,5.74,127.55,0.042
2009070420,4.2,-4.05,5.83,133.93,0.053
2009070421,3.72,-4.24,5.64,138.74,0.085
2009070422,3.24,-3.93,5.09,140.45,0.079
2009070423,2.84,-3.22,4.3,138.58,0.058
2009070500,2.57,-2.3,3.45,131.82,0.042
2009070501,2.15,-1.61,2.69,126.82,0.032
2009070502,2.25,-1.08,2.49,115.69,0.021
2009070503,2.19,-0.82,2.34,110.43,0.016
2009070504,1.78,-0.92,2.01,117.33,0.005
2009070505,1.17,-1.21,1.68,135.96,0.021
2009070506,0.59,-1.42,1.53,157.54,0.032
2009070507,0.22,-1.34,1.36,170.79,0.037
2009070508,0.01,-0.99,0.99,179.19,0.058
2009070509,-0.13,-0.44,0.46,196.75,0.122
2009070510,-0.29,0.23,0.36,308.36,0.159
2009070511,-0.32,0.82,0.88,338.93,0.148
2009070512,-0.06,1.15,1.15,357.13,0.185
2009070513,1.29,0.48,1.38,69.55,0.143
2009070514,1.78,0.0,1.78,89.94,0.079
2009070515,2.37,-0.53,2.43,102.55,0.021
2009070516,3.07,-1.02,3.23,108.48,0.085
2009070517,3.72,-1.57,4.04,112.88,0.053
2009070518,4.17,-2.29,4.76,118.83,0.042
2009070519,4.28,-3.23,5.37,127.07,0.106
2009070520,4.19,-4.11,5.88,134.45,0.19
2009070521,4.1,-4.57,6.14,138.13,0.206
2009070522,4.12,-4.36,6.0,136.64,0.185
2009070523,4.1,-3.68,5.51,131.92,0.317
2009070600,3.82,-2.85,4.77,126.66,0.153
2009070601,1.53,-1.46,2.11,133.77,0.048
2009070602,1.34,-1.34,1.9,134.95,0.085
2009070603,1.56,-1.26,2.0,128.91,0.138
2009070604,2.18,-1.0,2.39,114.61,0.233
2009070605,3.0,-0.75,3.09,104.04,0.37
2009070606,3.75,-0.8,3.84,102.07,0.54
2009070607,4.23,-1.34,4.44,107.56,0.54
2009070608,4.42,-2.12,4.9,115.59,0.481
2009070609,4.35,-2.78,5.16,122.63,0.471
2009070610,4.06,-3.09,5.11,127.31,0.196
2009070611,3.65,-3.21,4.86,131.31,0.153
2009070612,3.23,-3.39,4.68,136.44,0.238
2009070613,2.83,-3.97,4.87,144.53,0.132
2009070614,2.69,-4.42,5.17,148.63,0.127
2009070615,2.78,-4.69,5.45,149.33,0.201
2009070616,3.12,-4.68,5.63,146.32,0.243
2009070617,3.54,-4.54,5.76,142.05,0.344
2009070618,3.81,-4.45,5.86,139.43,0.397
2009070619,3.77,-4.54,5.9,140.25,0.45
2009070620,3.59,-4.67,5.89,142.42,0.476
2009070621,3.52,-4.67,5.85,142.95,0.497
2009070622,3.7,-4.38,5.73,139.76,0.635
2009070623,3.89,-3.85,5.48,134.74,0.619
2009070700,3.74,-3.2,4.92,130.55,0.519
2009070701,3.19,-2.82,4.26,131.5,0.413
2009070702,2.45,-2.13,3.25,131.02,0.402
2009070703,1.91,-1.6,2.49,129.92,0.291
2009070704,1.77,-1.42,2.27,128.9,0.196
2009070705,1.86,-1.48,2.38,128.5,0.148
2009070706,1.97,-1.57,2.52,128.47,0.143
2009070707,1.93,-1.54,2.47,128.47,0.09
2009070708,1.87,-1.47,2.38,128.26,0.074
2009070709,1.96,-1.51,2.48,127.67,0.116
2009070710,2.33,-1.76,2.92,127.1,0.153
2009070711,2.8,-2.18,3.55,127.84,0.169
2009070712,3.17,-2.7,4.16,130.5,0.201
2009070713,3.85,-4.04,5.58,136.33,0.169
2009070714,3.91,-4.07,5.65,136.2,0.228
2009070715,4.05,-4.07,5.74,135.13,0.286
2009070716,4.33,-4.13,5.99,133.65,0.148
2009070717,4.66,-4.24,6.3,132.3,0.143
2009070718,4.91,-4.34,6.56,131.44,0.153
2009070719,5.02,-4.4,6.67,131.23,0.196
2009070720,4.97,-4.39,6.63,131.42,0.243
2009070721,4.83,-4.3,6.47,131.7,0.317
2009070722,4.6,-4.12,6.18,131.82,0.344
2009070723,4.26,-3.81,5.71,131.83,0.286
2009070800,3.74,-3.35,5.02,131.83,0.254
2009070801,2.93,-2.61,3.92,131.67,0.19
2009070802,2.27,-2.02,3.04,131.65,0.143
2009070803,1.77,-1.64,2.41,132.73,0.159
2009070804,1.51,-1.59,2.2,136.51,0.138
2009070805,1.42,-1.8,2.29,141.75,0.069
2009070806,1.37,-2.1,2.5,146.83,0.063
2009070807,1.27,-2.35,2.68,151.59,0.058
2009070808,1.13,-2.54,2.78,156.0,0.063
2009070809,0.97,-2.64,2.82,159.81,0.101
2009070810,0.8,-2.68,2.79,163.33,0.053
2009070811,0.51,-2.7,2.75,169.31,0.042
2009070812,-0.04,-2.78,2.78,180.79,0.048
2009070813,-0.41,-1.78,1.83,193.06,0.042
2009070814,-0.67,-1.78,1.9,200.71,0.026
2009070815,-0.68,-1.83,1.96,200.37,0.011
2009070816,-0.28,-1.87,1.89,188.58,0.005
2009070817,0.32,-1.89,1.92,170.37,0.021
2009070818,0.83,-1.97,2.14,157.09,0.042
2009070819,1.03,-2.12,2.36,153.99,0.037
2009070820,0.99,-2.24,2.45,156.22,0.032
2009070821,0.85,-2.24,2.4,159.34,0.005
2009070822,0.72,-2.04,2.16,160.55,0.069
2009070823,0.64,-1.73,1.85,159.83,0.101
2009070900,0.6,-1.47,1.59,157.92,0.116
2009070901,1.55,-2.11,2.62,143.81,0.101
2009070902,0.96,-2.08,2.29,155.32,0.042
2009070903,0.17,-1.98,1.99,174.97,0.005
2009070904,-0.69,-1.79,1.92,201.16,0
2009070905,-1.48,-1.52,2.12,224.27,0
2009070906,-2.02,-1.22,2.36,238.95,0
2009070907,-2.19,-0.9,2.37,247.58,0
2009070908,-2.16,-0.6,2.24,254.44,0
2009070909,-2.14,-0.31,2.16,261.72,0
2009070910,-2.29,-0.03,2.29,269.31,0
2009070911,-2.49,0.32,2.51,277.26,0
2009070912,-2.55,0.8,2.68,287.49,0.005
2009070913,-1.63,1.32,2.09,308.97,0
2009070914,-1.3,2.06,2.43,327.81,0
2009070915,-1.13,2.82,3.04,338.14,0.011
2009070916,-1.3,3.52,3.76,339.77,0.011
2009070917,-1.65,4.17,4.48,338.4,0.005
2009070918,-1.96,4.76,5.14,337.66,0.037
2009070919,-2.05,5.28,5.66,338.73,0.106
2009070920,-2.04,5.59,5.95,339.92,0.185
2009070921,-2.09,5.54,5.92,339.31,0.302
2009070922,-2.3,5.02,5.53,335.38,0.429
2009070923,-2.56,4.25,4.96,328.9,0.46
2009071000,-2.69,3.46,4.39,322.18,0.413
2009071001,-2.43,3.0,3.86,321.07,0.487
2009071002,-2.18,2.61,3.4,320.18,0.492
2009071003,-1.85,2.42,3.05,322.57,0.545
2009071004,-1.58,2.46,2.92,327.39,0.577
2009071005,-1.35,2.61,2.94,332.62,0.577
2009071006,-1.16,2.7,2.94,336.72,0.571
2009071007,-0.99,2.62,2.8,339.3,0.556
2009071008,-0.88,2.53,2.68,340.74,0.534
2009071009,-0.91,2.67,2.82,341.2,0.656
2009071010,-1.08,3.17,3.35,341.22,0.683
2009071011,-1.26,3.87,4.07,342.02,0.608
2009071012,-1.26,4.52,4.69,344.39,0.455
2009071013,-0.37,4.0,4.02,354.72,0.471
2009071014,0.14,4.38,4.38,1.8,0.651
2009071015,0.7,4.72,4.77,8.48,0.571
2009071016,1.24,4.98,5.14,14.02,0.429
2009071017,1.74,5.17,5.45,18.61,0.46
2009071018,2.19,5.27,5.71,22.56,0.529
2009071019,2.58,5.29,5.89,25.97,0.397
2009071020,2.88,5.31,6.04,28.49,0.476
2009071021,3.05,5.38,6.19,29.55,0.265
2009071022,3.06,5.55,6.34,28.89,0.164
2009071023,2.91,5.64,6.35,27.32,0.138
2009071100,2.59,5.4,5.99,25.65,0.063
2009071101,1.31,3.61,3.84,19.93,0.048
2009071102,1.13,3.29,3.48,19.02,0.063
2009071103,0.93,3.06,3.2,16.81,0.053
2009071104,0.65,2.97,3.04,12.28,0.079
2009071105,0.45,2.92,2.95,8.74,0.069
2009071106,0.53,2.77,2.83,10.82,0.063
2009071107,1.02,2.43,2.64,22.87,0.037
2009071108,1.8,1.82,2.56,44.8,0.09
2009071109,2.67,0.88,2.81,71.68,0.275
2009071110,3.46,-0.36,3.48,95.95,0.36
2009071111,4.13,-1.7,4.47,112.35,0.185
2009071112,4.66,-2.85,5.46,121.5,0.116
2009071113,5.0,-3.59,6.16,125.66,0.069
2009071114,5.35,-4.09,6.73,127.39,0.09
2009071115,5.7,-4.39,7.2,127.6,0.212
2009071116,6.29,-4.7,7.85,126.77,0.254
2009071117,6.98,-4.99,8.58,125.55,0.45
2009071118,7.57,-5.19,9.18,124.44,0.55
2009071119,7.9,-5.25,9.49,123.62,0.608
2009071120,7.9,-5.11,9.41,122.87,0.688
2009071121,7.53,-4.68,8.87,121.9,0.72
2009071122,6.79,-3.97,7.87,120.28,0.746
2009071123,5.89,-3.08,6.64,117.66,0.714
2009071200,5.04,-2.21,5.5,113.68,0.741
2009071201,4.68,-0.97,4.78,101.69,0.735
2009071202,4.13,-0.41,4.15,95.64,0.63
2009071203,3.77,-0.13,3.77,91.91,0.54
2009071204,3.63,-0.11,3.63,91.75,0.418
2009071205,3.56,-0.28,3.57,94.48,0.307
2009071206,3.41,-0.53,3.45,98.84,0.148
2009071207,3.05,-0.78,3.15,104.38,0.063
2009071208,2.61,-1.04,2.81,111.69,0.058
2009071209,2.26,-1.32,2.62,120.25,0.069
2009071210,2.14,-1.62,2.69,127.08,0.053
2009071211,2.26,-1.84,2.92,129.16,0.037
2009071212,2.59,-1.87,3.19,125.73,0.026
2009071213,2.33,-1.14,2.6,116.02,0.005
2009071214,2.84,-1.26,3.11,113.97,0
2009071215,3.59,-1.59,3.92,113.96,0.005
2009071216,4.45,-2.21,4.96,116.42,0.005
2009071217,5.27,-2.94,6.04,119.16,0.005
2009071218,5.92,-3.57,6.91,121.08,0.053
2009071219,6.26,-3.9,7.38,121.88,0.069
2009071220,6.37,-3.93,7.49,121.7,0.122
2009071221,6.32,-3.73,7.34,120.51,0.153
2009071222,6.18,-3.34,7.02,118.38,0.291
2009071223,5.8,-2.9,6.48,116.53,0.349
2009071300,5.01,-2.55,5.62,116.95,0.344
2009071301,3.54,-1.81,3.98,117.07,0.344
2009071302,3.02,-1.69,3.46,119.13,0.349
2009071303,2.56,-1.67,3.06,123.08,0.296
2009071304,2.23,-1.7,2.8,127.39,0.132
2009071305,2.04,-1.77,2.7,130.89,0.175
2009071306,2.01,-1.85,2.73,132.71,0.116
2009071307,2.12,-1.95,2.88,132.55,0.116
2009071308,2.29,-1.99,3.03,131.07,0.069
2009071309,2.41,-1.94,3.09,128.87,0.069
2009071310,2.42,-1.76,2.99,125.99,0.058
2009071311,2.49,-1.55,2.94,121.93,0.063
2009071312,2.83,-1.46,3.19,117.3,0.074
2009071313,3.1,-2.22,3.82,125.66,0.111
2009071314,3.78,-2.99,4.82,128.39,0.116
2009071315,4.49,-3.76,5.85,129.93,0.058
2009071316,5.12,-4.3,6.68,130.03,0.058
2009071317,5.63,-4.62,7.29,129.38,0.143
2009071318,6.01,-4.78,7.68,128.47,0.577
2009071319,6.23,-4.79,7.86,127.54,0.725
2009071320,6.24,-4.59,7.75,126.35,0.815
2009071321,6.01,-4.12,7.29,124.4,0.772
2009071322,5.51,-3.34,6.44,121.23,0.561
2009071323,4.8,-2.54,5.43,117.91,0.249
2009071400,3.97,-2.07,4.48,117.52,0.111
2009071401,3.15,-2.56,4.05,129.1,0.085
2009071402,2.07,-2.43,3.2,139.57,0.048
2009071403,1.28,-2.18,2.52,149.63,0.063
2009071404,0.94,-1.63,1.89,149.96,0.058
2009071405,0.98,-0.95,1.36,134.14,0.106
2009071406,1.21,-0.36,1.26,106.49,0.106
2009071407,1.48,-0.04,1.48,91.37,0.079
2009071408,1.69,0.03,1.7,88.9,0.058
2009071409,1.79,-0.09,1.79,92.89,0.021
2009071410,1.71,-0.34,1.75,101.12,0.026
2009071411,1.55,-0.63,1.68,111.99,0.032
2009071412,1.42,-0.88,1.67,121.81,0.021
2009071413,1.39,-0.4,1.44,106.18,0
2009071414,1.48,-0.71,1.64,115.61,0
2009071415,1.69,-1.13,2.03,123.71,0
2009071416,2.13,-1.53,2.62,125.82,0
2009071417,2.63,-1.87,3.23,125.41,0
2009071418,2.98,-2.09,3.64,125.05,0
2009071419,3.01,-2.17,3.71,125.79,0.016
2009071420,2.72,-2.11,3.44,127.83,0.005
2009071421,2.16,-1.93,2.9,131.77,0.016
2009071422,1.43,-1.63,2.16,138.76,0.011
2009071423,0.68,-1.07,1.26,147.5,0
2009071500,0.12,-0.09,0.15,128.22,0
2009071501,-0.11,1.25,1.25,355.1,0
2009071502,-0.36,2.54,2.57,351.98,0
2009071503,-0.77,3.43,3.52,347.4,0.021
2009071504,-1.44,3.59,3.87,338.18,0.063
2009071505,-2.11,3.19,3.83,326.55,0.074
2009071506,-2.42,2.52,3.5,316.11,0.228
2009071507,-2.16,1.85,2.84,310.56,0.413
2009071508,-1.62,1.39,2.13,310.61,0.46
2009071509,-1.23,1.32,1.81,317.13,0.614
2009071510,-1.31,1.78,2.21,323.62,0.619
2009071511,-1.73,2.59,3.12,326.31,0.508
2009071512,-2.23,3.53,4.18,327.69,0.857
2009071513,-3.59,3.85,5.26,316.95,0.831
2009071514,-3.26,5.0,5.97,326.93,0.926
2009071515,-3.03,5.83,6.57,332.59,0.868
2009071516,-3.19,6.03,6.82,332.15,0.81
2009071517,-3.54,5.75,6.75,328.39,0.651
2009071518,-3.75,5.25,6.45,324.47,0.508
2009071519,-3.58,4.74,5.94,322.92,0.291
2009071520,-3.15,4.2,5.25,323.06,0.138
2009071521,-2.68,3.54,4.44,322.9,0.048
2009071522,-2.29,2.74,3.57,320.05,0.079
2009071523,-1.86,1.89,2.66,315.45,0.101
2009071600,-1.19,1.16,1.66,314.29,0.111
2009071601,-1.35,1.02,1.69,307.06,0.058
2009071602,-1.25,1.2,1.73,313.79,0.175
2009071603,-0.65,1.18,1.34,331.17,0.376
2009071604,0.58,0.63,0.86,42.79,0.434
2009071605,1.99,-0.2,2.0,95.85,0.402
2009071606,2.97,-0.95,3.12,107.82,0.407
2009071607,3.1,-1.34,3.38,113.34,0.317
2009071608,2.69,-1.44,3.05,118.13,0.243
2009071609,2.22,-1.43,2.64,122.75,0.138
2009071610,2.1,-1.46,2.55,124.84,0.085
2009071611,2.33,-1.55,2.8,123.58,0.042
2009071612,2.87,-1.69,3.33,120.57,0.063
2009071613,3.25,-1.0,3.41,107.15,0.053
2009071614,3.82,-1.55,4.12,112.1,0.053
2009071615,4.29,-2.21,4.83,117.29,0.011
2009071616,4.61,-2.85,5.42,121.72,0.074
2009071617,4.79,-3.38,5.86,125.24,0.122
2009071618,4.86,-3.76,6.14,127.77,0.143
2009071619,4.83,-3.94,6.24,129.18,0.127
2009071620,4.7,-3.89,6.1,129.6,0.143
2009071621,4.43,-3.6,5.71,129.07,0.206
2009071622,4.02,-3.08,5.06,127.43,0.153
2009071623,3.51,-2.42,4.27,124.55,0.053
2009071700,2.99,-1.75,3.47,120.39,0.085
2009071701,2.38,-2.01,3.11,130.2,0.159
2009071702,1.66,-1.12,2.01,124.01,0.058
2009071703,1.21,-0.42,1.28,109.05,0.016
2009071704,1.19,-0.08,1.19,94.02,0.016
2009071705,1.41,0.0,1.41,89.99,0.005
2009071706,1.62,0.03,1.62,89.07,0.026
2009071707,1.61,0.14,1.62,84.91,0.042
2009071708,1.45,0.32,1.48,77.36,0.063
2009071709,1.25,0.5,1.35,68.37,0.016
2009071710,1.14,0.59,1.28,62.67,0
2009071711,1.11,0.51,1.23,65.27,0
2009071712,1.19,0.19,1.21,80.76,0
2009071713,1.8,-1.21,2.17,123.83,0
2009071714,1.96,-1.47,2.45,126.91,0
2009071715,2.16,-1.69,2.75,128.07,0
2009071716,2.36,-1.92,3.04,129.18,0
2009071717,2.53,-2.18,3.34,130.69,0.026
2009071718,2.68,-2.48,3.65,132.74,0.074
2009071719,2.8,-2.82,3.97,135.23,0.079
2009071720,2.89,-3.16,4.28,137.55,0.079
2009071721,2.96,-3.43,4.53,139.2,0.09
2009071722,3.01,-3.58,4.68,139.9,0.127
2009071723,3.0,-3.53,4.63,139.65,0.18
2009071800,2.87,-3.23,4.32,138.32,0.159
2009071801,2.45,-2.39,3.43,134.31,0.169
2009071802,2.0,-1.81,2.7,132.14,0.18
2009071803,1.6,-1.36,2.1,130.43,0.101
2009071804,1.34,-1.15,1.77,130.53,0.069
2009071805,1.22,-1.13,1.66,132.61,0.058
2009071806,1.18,-1.2,1.68,135.32,0.09
2009071807,1.18,-1.29,1.74,137.47,0.058
2009071808,1.24,-1.41,1.88,138.84,0.037
2009071809,1.39,-1.62,2.14,139.41,0.048
2009071810,1.65,-1.95,2.55,139.8,0.026
2009071811,1.87,-2.39,3.04,141.95,0.026
2009071812,1.91,-2.96,3.52,147.18,0.026
2009071813,2.36,-3.03,3.84,142.09,0.085
2009071814,2.47,-3.66,4.42,146.01,0.106
2009071815,2.63,-4.21,4.97,147.99,0.079
2009071816,2.83,-4.57,5.38,148.25,0.063
2009071817,3.1,-4.77,5.68,146.97,0.09
2009071818,3.51,-4.87,6.0,144.23,0.222
2009071819,4.07,-4.91,6.38,140.4,0.296
2009071820,4.61,-4.87,6.7,136.59,0.386
2009071821,4.91,-4.67,6.78,133.55,0.471
2009071822,4.82,-4.27,6.44,131.52,0.455
2009071823,4.42,-3.71,5.77,130.04,0.413
2009071900,3.85,-3.08,4.93,128.6,0.317
2009071901,3.7,-2.52,4.47,124.31,0.18
2009071902,2.76,-1.9,3.35,124.58,0.138
2009071903,2.0,-1.45,2.47,126.0,0.18
2009071904,1.68,-1.23,2.08,126.14,0.175
2009071905,1.68,-1.2,2.06,125.52,0.143
2009071906,1.77,-1.31,2.21,126.59,0.143
2009071907,1.79,-1.52,2.35,130.34,0.101
2009071908,1.78,-1.73,2.48,134.18,0.106
2009071909,1.8,-1.82,2.55,135.32,0.111
2009071910,1.91,-1.72,2.57,132.12,0.085
2009071911,2.08,-1.56,2.6,126.82,0.048
2009071912,2.26,-1.46,2.69,122.85,0.016
2009071913,2.16,-1.41,2.58,123.1,0
2009071914,2.36,-1.6,2.85,124.1,0
2009071915,2.63,-1.85,3.21,125.1,0
2009071916,2.96,-2.14,3.65,125.85,0
2009071917,3.27,-2.47,4.09,127.05,0.011
2009071918,3.47,-2.85,4.49,129.37,0.042
2009071919,3.5,-3.26,4.79,132.94,0.069
2009071920,3.39,-3.56,4.91,136.38,0.079
2009071921,3.17,-3.55,4.77,138.23,0.063
2009071922,2.9,-3.15,4.28,137.36,0.063
2009071923,2.54,-2.49,3.56,134.43,0.021
2009072000,2.09,-1.83,2.77,131.2,0.005
2009072001,1.55,-1.7,2.3,137.53,0.016
2009072002,1.43,-1.65,2.18,139.08,0.048
2009072003,1.23,-1.57,1.99,142.02,0.058
2009072004,0.83,-1.34,1.58,148.32,0.048
2009072005,0.36,-1.04,1.1,161.0,0.016
2009072006,0.0,-0.8,0.8,179.94,0
2009072007,-0.12,-0.7,0.71,189.78,0
2009072008,-0.11,-0.67,0.68,189.59,0
2009072009,-0.14,-0.6,0.61,193.66,0
2009072010,-0.33,-0.4,0.52,219.01,0
2009072011,-0.53,-0.13,0.55,256.53,0
2009072012,-0.58,0.16,0.6,285.03,0
2009072013,-0.34,0.67,0.75,332.71,0
2009072014,0.09,0.91,0.91,5.45,0
2009072015,0.56,1.03,1.17,28.29,0
2009072016,0.95,1.04,1.41,42.54,0
2009072017,1.29,1.03,1.65,51.42,0
2009072018,1.62,1.15,1.99,54.73,0
2009072019,1.96,1.48,2.45,52.95,0
2009072020,2.17,1.92,2.9,48.44,0
2009072021,2.12,2.35,3.17,41.97,0.011
2009072022,1.69,2.65,3.15,32.57,0.026
2009072023,0.99,2.78,2.96,19.66,0.042
2009072100,0.17,2.75,2.75,3.5,0.106
2009072101,-1.38,2.77,3.1,333.63,0.153
2009072102,-1.75,2.32,2.9,322.99,0.28
2009072103,-2.0,1.95,2.79,314.21,0.296
2009072104,-2.17,1.76,2.79,308.98,0.45
2009072105,-2.25,1.69,2.82,306.93,0.503
2009072106,-2.22,1.66,2.78,306.74,0.64
2009072107,-2.1,1.59,2.64,307.2,0.698
2009072108,-2.0,1.54,2.52,307.49,0.698
2009072109,-2.09,1.56,2.6,306.74,0.624
2009072110,-2.44,1.72,2.99,305.16,0.524
2009072111,-2.9,2.05,3.56,305.26,0.534
2009072112,-3.23,2.57,4.13,308.48,0.471
2009072113,-3.2,3.42,4.69,316.91,0.302
2009072114,-3.07,4.15,5.16,323.46,0.185
2009072115,-2.82,4.82,5.59,329.65,0.122
2009072116,-2.55,5.37,5.95,334.62,0.164
2009072117,-2.35,5.75,6.21,337.74,0.159
2009072118,-2.34,5.9,6.34,338.37,0.132
2009072119,-2.56,5.79,6.33,336.1,0.18
2009072120,-2.91,5.43,6.16,331.86,0.323
2009072121,-3.2,4.88,5.83,326.76,0.423
2009072122,-3.3,4.16,5.31,321.6,0.434
2009072123,-3.22,3.41,4.69,316.61,0.481
2009072200,-3.03,2.77,4.1,312.45,0.529
2009072201,-2.27,1.98,3.02,311.1,0.519
2009072202,-2.21,1.93,2.93,311.16,0.587
2009072203,-2.14,1.93,2.88,312.08,0.704
2009072204,-2.11,1.83,2.79,311.03,0.619
2009072205,-2.09,1.65,2.66,308.19,0.497
2009072206,-2.08,1.43,2.52,304.57,0.418
2009072207,-2.05,1.24,2.4,301.24,0.402
2009072208,-2.1,1.15,2.4,298.73,0.36
2009072209,-2.35,1.23,2.65,297.66,0.296
2009072210,-2.84,1.52,3.22,298.22,0.365
2009072211,-3.41,1.99,3.95,300.18,0.423
2009072212,-3.85,2.55,4.62,303.46,0.222
2009072213,-2.38,2.82,3.69,319.76,0.116
2009072214,-2.14,3.22,3.87,326.45,0.116
2009072215,-2.1,3.53,4.11,329.25,0.132
2009072216,-2.43,3.72,4.44,326.88,0.143
2009072217,-2.9,3.88,4.84,323.29,0.206
2009072218,-3.2,4.14,5.23,322.35,0.19
2009072219,-3.11,4.55,5.51,325.67,0.243
2009072220,-2.76,4.88,5.61,330.49,0.286
2009072221,-2.39,4.85,5.41,333.74,0.143
2009072222,-2.18,4.29,4.81,333.09,0.122
2009072223,-2.06,3.41,3.98,328.88,0.095
2009072300,-1.94,2.55,3.21,322.8,0.111
2009072301,-1.29,1.53,2.0,319.78,0.037
2009072302,-1.46,1.08,1.82,306.66,0.079
2009072303,-1.56,0.88,1.79,299.45,0.169
2009072304,-1.52,1.01,1.82,303.57,0.222
2009072305,-1.39,1.25,1.87,312.08,0.138
2009072306,-1.28,1.34,1.85,316.42,0.116
2009072307,-1.27,1.09,1.67,310.71,0.175
2009072308,-1.35,0.69,1.51,296.98,0.19
2009072309,-1.51,0.43,1.57,285.78,0.101
2009072310,-1.7,0.52,1.78,287.03,0.074
2009072311,-1.87,0.9,2.08,295.7,0.063
2009072312,-1.93,1.42,2.4,306.24,0.063
2009072313,-2.7,1.78,3.23,303.47,0.053
2009072314,-2.32,2.22,3.21,313.82,0.026
